,l,ep,poi
90,109,0.04154302670623145,0.6064947467626611
91,110,0.04154302670623145,0.0
92,111,0.7151335311572701,0.6064947467626611
93,112,0.9643916913946587,0.7083858642187881
94,113,0.8249258160237388,0.8396063804698095
95,114,0.8308605341246291,0.873640743533011
96,116,0.5786350148367952,0.8297443470956626
97,117,0.06824925816023739,0.6126209562646583
98,119,0.4836795252225519,0.7330028534158637
99,120,0.4391691394658754,0.6570359754573846
100,122,0.1513353115727003,0.6064947467626611
101,123,0.258160237388724,0.6901491942992031
102,124,0.3323442136498516,0.6606460632646145
103,125,0.7922848664688428,0.8398563879148357
104,126,0.5578635014836796,0.677847070018238
105,127,0.34421364985163205,0.6998016309733005
106,128,0.34421364985163205,0.8086596621480499
107,129,0.8071216617210683,0.8845668664819003
108,130,0.2789317507418398,0.7879016577113492
109,131,0.18991097922848665,0.677847070018238
110,132,0.1661721068249258,0.8933725109451043
111,133,0.685459940652819,0.7853329413986374
112,134,0.3887240356083086,0.8850330747482735
113,135,0.4035608308605341,0.622045894333266
114,136,0.3323442136498516,0.6714763266863041
115,137,0.884272997032641,0.8326758376346558
116,138,0.6261127596439169,0.8442483366053705
117,139,0.12759643916913946,0.6064947467626611
118,140,0.8486646884272997,0.815592445981293
119,141,0.8486646884272997,0.836182074133408
120,143,0.7833827893175074,0.8237468770205714
121,144,0.8664688427299704,0.8751524783894125
122,145,0.9703264094955489,0.6297342650908893
123,146,0.9614243323442137,0.7414080475926228
124,147,0.5727002967359051,0.6550143265036741
125,148,0.9050445103857567,0.8983335779306431
126,149,0.43026706231454004,0.6064947467626611
127,150,0.21364985163204747,0.7480101874717838
128,151,0.6735905044510386,0.8212219684299129
129,152,0.6320474777448071,0.8156723207329468
130,153,0.3293768545994065,0.6421709080872022
131,156,0.02967359050445104,0.6064947467626611
132,157,0.9970326409495549,0.8308978030648458
133,158,0.7655786350148368,0.8894635316097644
134,159,0.5905044510385756,0.7285114414063443
135,160,0.6973293768545994,0.833930276798659
136,161,0.8367952522255193,0.8360265694868327
137,162,0.857566765578635,0.8144471200741903
138,163,0.8011869436201781,0.8370710789851706
139,164,0.8486646884272997,0.8573546996063117
140,165,0.4629080118694362,0.7263832434555223
141,166,0.629080118694362,0.8166330666353145
142,167,0.5816023738872403,0.6911219208987983
143,168,0.6646884272997032,0.8068546185476824
144,169,0.3827893175074184,0.6796923885087591
145,170,0.8724035608308606,0.8278584747274045
146,171,0.9347181008902077,0.6238231683586636
147,174,0.29376854599406527,0.6849823024044451
148,175,0.10385756676557864,0.5685888250899948
149,176,0.050445103857566766,0.6064947467626611
150,177,0.8486646884272997,0.63898553702773
151,178,0.2551928783382789,0.6931368535296835
152,180,0.4094955489614243,0.6064947467626611
153,181,0.8338278931750742,0.7920640347973498
154,182,0.4124629080118694,0.6064947467626611
155,183,0.14540059347181009,0.6714763266863041
156,184,0.27002967359050445,0.6064947467626611
157,185,0.3264094955489614,0.6358412669042565
158,187,0.04154302670623145,0.0
159,188,0.9406528189910979,0.7088899638509601
160,189,0.8961424332344213,0.8129610435845454
161,190,0.8011869436201781,0.893781732358577
162,191,0.09792284866468842,0.6605388331739027
163,192,0.3056379821958457,0.6064947467626611
164,193,0.9465875370919882,0.7009316453140265
165,194,0.7181008902077152,0.7401291824591885
166,195,0.7893175074183977,0.7987979593135401
167,196,0.49258160237388726,0.7401291824591885
168,197,0.36795252225519287,0.7063879989565719
169,198,0.9673590504451038,0.6493061404734093
170,199,0.6083086053412463,0.0
171,201,0.07418397626112759,0.5789268037004267
172,202,0.9020771513353115,0.6917830705261604
173,203,0.10979228486646884,0.6245990673986076
174,204,0.04154302670623145,0.0
175,205,0.142433234421365,0.6337092547079721
176,206,0.29376854599406527,0.6064947467626611
177,208,0.26112759643916916,0.6901491942992031
178,209,0.8486646884272997,0.8455815800577996
179,210,0.29376854599406527,0.6120589187958229
180,211,0.8367952522255193,0.8808035793146276
181,215,0.258160237388724,0.7484403256760829
182,216,0.314540059347181,0.8887971060846005
183,217,0.0,0.7726576912390533
184,219,0.10682492581602374,0.841611652852368
185,220,0.31750741839762614,0.6952500753057235
186,221,0.21364985163204747,0.6064947467626611
187,222,0.5252225519287834,0.6064947467626611
188,223,0.7744807121661721,0.7953301072608158
189,225,0.9317507418397626,0.6548852850423844
190,226,0.9940652818991098,0.8281942848037395
191,227,0.5637982195845698,0.6847521334025856
192,228,0.6795252225519288,0.7469461615789899
193,232,0.9050445103857567,0.923027734486823
194,234,0.8427299703264095,0.8407996576710755
195,235,0.3916913946587537,0.6886242439222698
196,236,0.8456973293768546,0.8334453120757475
197,237,0.8308605341246291,0.8206122883727404
198,238,0.7477744807121661,0.829852454784273
199,239,0.7270029673590505,0.8443398900198681
200,240,0.258160237388724,0.6064947467626611
201,242,0.32344213649851633,0.622045894333266
202,243,0.4688427299703264,0.8166479415254737
203,245,0.0830860534124629,0.6064947467626611
204,246,0.771513353115727,0.8603454980536013
205,247,0.5727002967359051,0.7999173957793877
206,248,0.4035608308605341,0.6602347876534346
207,249,0.7863501483679525,0.8531296831363707
208,251,0.050445103857566766,0.0
209,252,0.27002967359050445,0.6600089890527201
210,253,0.09495548961424333,0.6064947467626611
211,257,0.7329376854599406,0.7616445654057514
212,258,0.5014836795252225,0.7429560647842599
213,259,0.2403560830860534,0.6469277300823368
214,260,1.0,0.8587536240138364
215,261,0.8011869436201781,0.9217844348118334
216,262,0.8071216617210683,0.8207861673841634
217,264,0.0,0.8252497855589231
