,id,location_name,lat,lon,max_speed,min_speed,average_speed
68,80,"Brooklyn , East Williamsburg",40.7119945,-73.9671403,81.0,18.0,35.275618963028755
69,81,"Bronx , Eastchester",40.8884329,-73.8281895,81.0,20.0,36.276105362182506
70,82,"Queens , Elmhurst",40.7365804,-73.8783932,81.0,18.0,34.72442941673711
71,85,"Brooklyn , Erasmus",40.6495482,-73.9559714,64.0,18.0,35.92198809715297
72,86,"Queens , Far Rockaway",40.6053825,-73.7551326,35.0,35.0,35.0
73,87,"Manhattan , Financial District North",40.7121392,-74.0131756,81.0,18.0,36.03328040647825
74,88,"Manhattan , Financial District South",40.7017103,-74.0131489,81.0,18.0,35.99842379385965
75,89,"Brooklyn , Flatbush/Ditmas Park",40.6393842,-73.9642875,64.0,18.0,35.83566581849025
76,90,"Manhattan , Flatiron",40.741059199999995,-73.98964162240998,81.0,18.0,35.542974452554745
77,91,"Brooklyn , Flatlands",40.6212155,-73.9348597,35.0,35.0,35.0
78,92,"Queens , Flushing",40.7654301,-73.8174291,64.0,20.0,26.182724252491695
79,94,"Bronx , Fordham South",40.8636237,-73.887748327829,81.0,18.0,35.850273832729975
80,95,"Queens , Forest Hills",40.7195942,-73.8448553,64.0,20.0,23.87410071942446
81,97,"Brooklyn , Fort Greene",40.6907711,-73.9766245,81.0,18.0,35.88196211478654
82,98,"Queens , Fresh Meadows",40.7348246,-73.7934668,35.0,35.0,35.0
83,99,"Staten Island , Freshkills Park",40.5791894,-74.17996750759133,35.0,35.0,35.0
84,100,"Manhattan , Garment District",40.7536941,-73.9905167,81.0,18.0,35.589587852494574
85,101,"Queens , Glen Oaks",40.7470463,-73.7115199,35.0,35.0,35.0
86,102,"Queens , Glendale",40.7014917,-73.8868028,81.0,18.0,35.91380615850581
87,106,"Brooklyn , Gowanus",40.6791695,-73.9885041,81.0,18.0,36.1759934453093
88,107,"Manhattan , Gramercy",40.7355189,-73.9840794,81.0,18.0,35.51810416860087
89,108,"Brooklyn , Gravesend",40.5961338,-73.9739426,35.0,35.0,35.0
90,109,"Staten Island , Great Kills",40.5513353,-74.151201,35.0,35.0,35.0
91,110,"Staten Island , Great Kills Park",40.548161,-74.1262534,35.0,35.0,35.0
92,111,"Brooklyn , Green-Wood Cemetery",40.65220295,-73.99107685810596,64.0,18.0,36.03359353219961
93,112,"Brooklyn , Greenpoint",40.7237134,-73.9509714,81.0,18.0,35.424777462584366
94,113,"Manhattan , Greenwich Village North",40.7317312,-73.9976185,81.0,18.0,35.4476330635271
95,114,"Manhattan , Greenwich Village South",40.7299438,-73.9973576,81.0,18.0,35.40133180937236
96,116,"Manhattan , Hamilton Heights",40.8241451,-73.9500618,81.0,18.0,35.98207354443309
97,117,"Queens , Hammels/Arverne",40.5871898,-73.8111059,35.0,35.0,35.0
98,119,"Bronx , Highbridge",40.83653245,-73.92959563928643,81.0,18.0,35.85073075276708
99,120,"Manhattan , Highbridge Park",40.84591775,-73.92984478686536,81.0,18.0,35.960293825689895
100,122,"Queens , Hollis",40.7134361,-73.7670772,35.0,35.0,35.0
101,123,"Brooklyn , Homecrest",40.58611335,-73.95731014951107,35.0,35.0,35.0
102,124,"Queens , Howard Beach",40.6578815,-73.8362459,35.0,35.0,35.0
103,125,"Manhattan , Hudson Sq",40.7268035,-74.0079833,81.0,18.0,35.53496676372026
104,126,"Bronx , Hunts Point",40.8126008,-73.8840247,81.0,18.0,35.90409736825336
105,127,"Manhattan , Inwood",40.8692579,-73.9204949,81.0,18.0,35.94041673841915
106,128,"Manhattan , Inwood Hill Park",40.87227365,-73.9254270915026,81.0,18.0,35.91167468299082
107,129,"Queens , Jackson Heights",40.7556561,-73.8857755,81.0,18.0,35.38423042112549
108,130,"Queens , Jamaica",40.7029134,-73.8006429,35.0,35.0,35.0
109,131,"Queens , Jamaica Estates",40.71334555,-73.78251095420785,35.0,35.0,35.0
110,132,"Queens , JFK Airport",40.642947899999996,-73.7793733748521,35.0,35.0,35.0
111,133,"Brooklyn , Kensington",40.6462149,-73.970694,64.0,18.0,35.8232990699951
112,134,"Queens , Kew Gardens",40.7095633,-73.8307965,35.0,35.0,35.0
113,135,"Queens , Kew Gardens Hills",40.7159628,-73.8328014,35.0,35.0,35.0
114,136,"Bronx , Kingsbridge Heights",40.8725702,-73.9026619,81.0,18.0,36.02714067278288
115,137,"Manhattan , Kips Bay",40.7395463,-73.9770832,81.0,18.0,35.51390458964504
116,138,"Queens , LaGuardia Airport",40.7757145,-73.87336398511545,81.0,18.0,35.92421052631579
117,139,"Queens , Laurelton",40.6667703,-73.7515212,35.0,35.0,35.0
118,140,"Manhattan , Lenox Hill East",40.7672618,-73.966522,81.0,18.0,36.056923014945816
119,141,"Manhattan , Lenox Hill West",40.767694649999996,-73.96471689217381,81.0,18.0,36.05830047477267
120,143,"Manhattan , Lincoln Square West",40.7737889,-73.9819984,81.0,18.0,36.06147788001768
121,144,"Manhattan , Little Italy/NoLiTa",40.7210061,-73.9947024,81.0,18.0,35.41860846734493
122,145,"Queens , Long Island City/Hunters Point",40.7424147,-73.9481036,81.0,18.0,35.54856565479067
123,146,"Queens , Long Island City/Queens Plaza",40.750607,-73.9402599,81.0,18.0,35.6143223599829
124,147,"Bronx , Longwood",40.8162916,-73.8962205,81.0,18.0,35.98320703243407
125,148,"Manhattan , Lower East Side",40.7159357,-73.9868057,81.0,18.0,35.433247393789934
126,149,"Brooklyn , Madison",40.6105009,-73.94765849957773,35.0,35.0,35.0
127,150,"Brooklyn , Manhattan Beach",40.5766309,-73.9409798480918,35.0,35.0,35.0
128,151,"Manhattan , Manhattan Valley",40.7997764,-73.9677716,81.0,18.0,36.07040870596899
129,152,"Manhattan , Manhattanville",40.8157775,-73.951554,81.0,18.0,35.980206540447504
130,153,"Manhattan , Marble Hill",40.8762983,-73.9104292,81.0,18.0,36.329268292682926
131,156,"Staten Island , Mariners Harbor",40.6367701,-74.1587547,35.0,35.0,35.0
132,157,"Queens , Maspeth",40.723158,-73.912637,81.0,18.0,35.37782747928633
133,158,"Manhattan , Meatpacking/West Village West",40.7408956,-74.0052344,81.0,18.0,35.470980465815174
134,159,"Bronx , Melrose South",40.8183333,-73.9027778,81.0,18.0,36.01897499556659
135,160,"Queens , Middle Village",40.718215650000005,-73.87867154730415,81.0,18.0,34.949380165289256
136,161,"Manhattan , Midtown Center",40.75925755,-73.97995686116377,81.0,18.0,35.64974791340084
137,162,"Manhattan , Midtown East",40.7598219,-73.9724708,81.0,18.0,35.695752830744624
138,163,"Manhattan , Midtown North",40.7649371,-73.9850825,81.0,18.0,35.73311829758713
139,164,"Manhattan , Midtown South",40.7498417,-73.984251,81.0,18.0,35.57452195931197
