,s,t,d,s
70,2,85,11.365583522512692,26.5
71,2,86,6.779075922466908,35.0
72,2,87,19.221235448062064,26.5
73,2,88,18.516975353175724,26.5
74,2,89,11.567013970128253,26.5
75,2,90,20.03670566985462,26.5
76,2,91,8.610123185093654,35.0
77,2,92,18.014850563511775,27.5
78,2,94,29.20438991830559,26.5
79,2,95,12.878853766600631,27.5
80,2,97,15.33111088333685,26.5
81,2,98,14.971703504318869,35.0
82,2,99,29.223877592421424,35.0
83,2,100,21.169825308653714,26.5
84,2,101,19.031184282892394,35.0
85,2,102,11.675985036371019,26.5
86,2,106,15.385898449871464,26.5
87,2,107,19.263975432504342,26.5
88,2,108,11.728301653856631,35.0
89,2,109,27.30520810853814,35.0
90,2,110,25.336048088512456,35.0
91,2,111,14.188418142740286,26.5
92,2,112,16.49906764912818,26.5
93,2,113,19.720748261336322,26.5
94,2,114,19.56284319995848,26.5
95,2,116,26.317864941670447,26.5
96,2,117,2.7754397289166053,35.0
97,2,119,27.0479592505323,26.5
98,2,120,28.05307303193899,26.5
99,2,122,13.465598644920064,35.0
100,2,123,10.482510981269135,35.0
101,2,124,5.992473898883835,35.0
102,2,125,19.958488393322728,26.5
103,2,126,23.55519221836116,26.5
104,2,127,30.354648867633756,26.5
105,2,128,30.780306872095846,26.5
106,2,129,17.390637313836034,26.5
107,2,130,11.383745520431566,35.0
108,2,131,12.952355589892338,35.0
109,2,132,6.413324161995477,35.0
110,2,133,12.344725750822844,26.5
111,2,134,11.745271056833968,35.0
112,2,135,12.452354803749278,35.0
113,2,136,30.397075164959347,26.5
114,2,137,19.23390452294799,26.5
115,2,138,19.360747898113146,26.5
116,2,139,9.941734784083987,35.0
117,2,140,21.255643776943757,26.5
118,2,141,21.218139607191457,26.5
119,2,143,22.565948320491774,26.5
120,2,144,18.70326374820036,26.5
121,2,145,18.089405607463977,26.5
122,2,146,18.545968195577117,26.5
123,2,147,24.156457634082276,26.5
124,2,148,17.833006118757424,26.5
125,2,149,9.503173444912361,35.0
126,2,150,9.41900162507394,35.0
127,2,151,24.462790872371244,26.5
128,2,152,25.502952566709254,26.5
129,2,153,30.931472192469098,26.5
130,2,156,27.53280347051983,35.0
131,2,157,14.764913176832781,26.5
132,2,158,20.901055417434772,26.5
133,2,159,24.500503088221606,26.5
134,2,160,13.214676227101357,26.5
135,2,161,21.133522884561643,26.5
136,2,162,20.828004142474935,26.5
137,2,163,21.898410337079003,26.5
138,2,164,20.507327389678466,26.5
139,2,165,11.104211494226528,27.5
140,2,166,25.28795447447625,26.5
141,2,167,25.551068863683934,26.5
142,2,168,23.24175559603258,26.5
143,2,169,28.26169343055868,26.5
144,2,170,20.076965684270725,26.5
145,2,171,18.751005849006045,26.5
146,2,174,30.58577128099388,26.5
147,2,175,17.677179683163672,35.0
148,2,176,24.106649308222142,35.0
149,2,177,10.289106873526453,26.5
150,2,178,11.123303477966665,35.0
151,2,180,8.122858844685016,35.0
152,2,181,14.677773653043458,26.5
153,2,182,25.577979665496823,26.5
154,2,183,29.411907132160355,27.5
155,2,184,27.64516375814865,26.5
156,2,185,28.289033906349747,26.5
157,2,187,25.621638426174478,35.0
158,2,188,13.358388464714759,26.5
159,2,189,13.911429566141237,26.5
160,2,190,13.12869296200927,26.5
161,2,191,15.162808751413662,35.0
162,2,192,15.470005202026268,27.5
163,2,193,19.269959544618803,26.5
164,2,194,22.228632606669866,26.5
165,2,195,16.688217529718674,26.5
166,2,196,13.408227682663709,26.5
167,2,197,10.618145037070043,35.0
168,2,198,13.342672862599807,26.5
169,2,199,21.28724604600362,26.5
170,2,201,2.6119623946350203,35.0
171,2,202,19.99818490118673,26.5
172,2,203,10.624699306161398,35.0
173,2,204,32.116195591825914,35.0
174,2,205,12.248353355365499,35.0
175,2,206,20.934806487982435,26.5
176,2,208,24.28009569292528,26.5
177,2,209,18.101499093385602,26.5
178,2,210,9.326082666325647,35.0
179,2,211,19.093566242386828,26.5
180,2,215,10.77101468077282,35.0
181,2,216,7.480037702882645,35.0
182,2,217,914.5237492127698,35.0
183,2,219,12.107991960351313,35.0
184,2,220,31.365170705104596,26.5
185,2,221,20.411462694568666,27.5
186,2,222,6.1350969465478595,35.0
187,2,223,19.820459149173367,26.5
188,2,225,12.054243983526973,26.5
189,2,226,17.298871854075294,26.5
190,2,227,15.034019148522693,26.5
191,2,228,14.38528630605088,26.5
192,2,232,17.827798374588568,26.5
193,2,234,19.649112759209142,26.5
194,2,235,28.70512348684203,26.5
195,2,236,21.308388986339015,26.5
196,2,237,22.090657141343108,26.5
197,2,238,23.126950783654905,26.5
198,2,239,23.261018990804114,26.5
199,2,240,32.87300834780831,26.5
200,2,242,27.877052430011926,26.5
201,2,243,27.739855847665968,26.5
202,2,245,23.597926166558537,35.0
203,2,246,21.720471734855373,26.5
204,2,247,25.764374957709204,26.5
205,2,248,26.162006161096514,26.5
206,2,249,20.385082411370643,26.5
207,2,251,25.09238925095867,35.0
208,2,252,21.23652536607342,27.5
209,2,253,21.943000351971772,35.0
210,2,257,13.170200127577752,26.5
211,2,258,9.67043716256872,35.0
212,2,259,32.294863673635966,26.5
213,2,260,16.7932775644737,26.5
214,2,261,19.161966639463916,26.5
215,2,262,21.97092667160088,26.5
216,2,264,3872.9996260097714,35.0
217,4,2,18.144436386317643,26.5
218,4,5,26.005007450236857,26.5
219,4,6,15.377524736323704,26.5
220,4,7,6.668543693622773,18.0
221,4,8,7.660393252558008,18.0
222,4,9,16.497655322448725,26.5
223,4,10,17.293788366755017,26.5
224,4,11,13.81817577232602,26.5
225,4,12,3.91592728001397,18.0
226,4,13,3.5161826926157045,18.0
227,4,14,10.986105317024569,18.0
228,4,16,17.726809710034917,26.5
229,4,17,2.038211192908785,18.0
230,4,18,17.955989423435295,18.0
231,4,19,21.074286157972047,26.5
232,4,20,16.46440884271627,18.0
233,4,21,12.487298981399514,26.5
234,4,22,12.617732097872697,19.0
235,4,24,8.362771642166999,18.0
236,4,25,4.406535695095843,18.0
237,4,26,10.234450939124489,18.0
238,4,29,16.470938208059344,26.5
239,4,30,18.98211584798817,26.5
240,4,31,1644.6063577623788,26.5
241,4,32,16.896948854947606,18.0
242,4,33,3.4792899536492703,18.0
243,4,34,2.839293302824818,18.0
244,4,35,8.730323463277553,18.0
245,4,36,4.821439404170987,18.0
246,4,37,5.676983123156977,18.0
247,4,38,20.60544138227794,26.5
248,4,39,11.231678408127431,26.5
249,4,40,5.347001354070581,18.0
250,4,42,8.499487089101507,18.0
251,4,43,6.523558354205616,18.0
252,4,45,1.6999150891110864,18.0
253,4,46,21.200923058017427,26.5
254,4,48,0.9169714577492635,18.0
255,4,49,4.114727476374667,18.0
256,4,50,4.075823726428831,18.0
257,4,51,20.818997210402742,18.0
258,4,52,4.435946162565092,18.0
259,4,53,13.227105123529281,18.0
260,4,54,4.53344570597804,18.0
